#
# Joint Pamir-Hindu Kush earthquake catalog for events deeper 50 km from Kufner et al., 2016
# obtained from the TIPAGE/FERGHANA/TIPTIMON networks 
# (Mechie et al., 2012/Feld et al., 2015/Schurr et al., 2012/13)
# between 2012-14 & 2008-10.
#
# Pamir events are mainly relocated from Sippl et al., 2013 (JGR)
# 
# See Kufner et. al. 2016 for details on location procedure 
# - "absError(km)" -- absolute location error (value refers to the radius of a sphere with the same volume as the error ellipsoide calculated in NonLinLoc)  
# - "AveragedRelativeError (km)" -- averaged relative location error from the double difference scheme. "-" if only single event location exists. 
# - the separation in "deepPamir" and "deepHinduKush" events is mainly due to the different dip angles of the seismic domains beneath Pamir and Hindu Kush
#   
# longitude(deg) latitude(deg) depth(km) local_magnitude absError(km) AveragedRelativeError(km) area(deepPamir/deepHinduKush)
70.719 35.982 64.11 3.7 4.5 - deepHinduKush
71.002 36.758 64.21 3.0 3.2 1.9 deepPamir
71.343 36.999 64.25 2.7 3.7 - deepHinduKush
71.145 36.682 64.33 3.2 4.6 1.9 deepPamir
72.763 38.277 64.40 2.1 5.6 - deepPamir
71.191 36.301 64.51 3.3 2.6 1.9 deepHinduKush
71.213 36.336 64.60 3.4 3.0 1.9 deepHinduKush
70.579 36.322 64.65 3.1 8.0 - deepHinduKush
71.092 36.806 64.67 2.8 2.4 1.9 deepPamir
71.275 36.456 64.69 2.9 4.1 1.9 deepHinduKush
71.046 36.662 64.75 3.0 4.5 1.9 deepPamir
71.026 36.791 64.83 3.6 1.4 1.9 deepPamir
71.164 36.635 64.86 3.0 3.2 1.9 deepPamir
71.221 36.640 64.95 4.1 1.6 1.9 deepHinduKush
71.129 37.009 64.99 3.0 1.6 1.9 deepPamir
71.056 36.826 65.02 3.1 2.1 1.9 deepPamir
71.304 36.564 65.06 3.6 5.4 1.9 deepHinduKush
71.587 36.176 65.18 2.1 3.8 - deepHinduKush
71.274 36.494 65.20 3.0 3.3 1.9 deepHinduKush
71.070 36.738 65.24 3.0 8.4 1.9 deepPamir
70.989 36.912 65.25 3.1 3.0 1.9 deepPamir
71.090 36.707 65.32 2.7 2.7 1.9 deepPamir
71.260 36.472 65.32 3.1 4.3 1.9 deepHinduKush
71.104 37.179 65.37 2.7 2.4 1.9 deepPamir
71.282 36.601 65.55 3.2 3.7 1.9 deepHinduKush
70.117 35.968 65.59 2.9 3.7 - deepHinduKush
70.998 36.728 65.74 3.1 1.9 1.9 deepPamir
71.283 36.589 65.76 2.5 3.9 1.9 deepHinduKush
71.532 36.389 65.76 2.0 4.5 - deepHinduKush
71.240 36.369 65.82 4.1 3.0 1.9 deepHinduKush
71.237 36.342 65.88 2.7 2.6 1.9 deepHinduKush
71.390 36.684 65.99 2.3 4.0 1.9 deepHinduKush
71.255 36.513 66.04 3.6 2.8 1.9 deepHinduKush
71.033 36.828 66.08 2.9 1.8 1.9 deepPamir
70.946 36.698 66.14 3.5 1.6 1.9 deepPamir
69.355 35.662 66.37 3.3 6.5 1.9 deepHinduKush
70.992 36.790 66.47 4.4 2.7 1.9 deepPamir
71.087 36.777 66.53 4.9 2.9 - deepPamir
71.147 36.729 66.78 3.8 3.1 1.9 deepPamir
71.061 36.856 66.80 3.3 1.6 1.9 deepPamir
71.189 36.334 66.82 3.0 6.5 1.9 deepHinduKush
70.566 36.108 66.84 2.5 9.6 - deepHinduKush
71.311 36.605 66.89 3.1 3.6 1.9 deepHinduKush
69.626 35.423 66.92 3.8 3.6 - deepHinduKush
71.049 36.926 66.99 3.5 3.8 - deepPamir
71.277 36.537 67.01 2.8 5.9 1.9 deepHinduKush
71.079 36.701 67.10 3.2 2.1 1.9 deepPamir
71.488 36.678 67.14 3.2 3.4 1.9 deepHinduKush
70.861 35.914 67.15 3.0 3.9 - deepHinduKush
71.080 36.703 67.27 3.3 1.7 1.9 deepPamir
