#
# Joint Pamir-Hindu Kush earthquake catalog for events deeper 50 km from Kufner et al., 2016
# obtained from the TIPAGE/FERGHANA/TIPTIMON networks 
# (Mechie et al., 2012/Feld et al., 2015/Schurr et al., 2012/13)
# between 2012-14 & 2008-10.
#
# Pamir events are mainly relocated from Sippl et al., 2013 (JGR)
# 
# See Kufner et. al. 2016 for details on location procedure 
# - "absError(km)" -- absolute location error (value refers to the radius of a sphere with the same volume as the error ellipsoide calculated in NonLinLoc)  
# - "AveragedRelativeError (km)" -- averaged relative location error from the double difference scheme. "-" if only single event location exists. 
# - the separation in "deepPamir" and "deepHinduKush" events is mainly due to the different dip angles of the seismic domains beneath Pamir and Hindu Kush
#   
# longitude(deg) latitude(deg) depth(km) local_magnitude absError(km) AveragedRelativeError(km) area(deepPamir/deepHinduKush)
71.012 36.531 157.02 3.1 4.9 1.9 deepHinduKush
70.969 36.620 157.06 2.8 4.7 1.9 deepHinduKush
71.199 36.521 157.21 3.3 3.8 1.9 deepHinduKush
70.990 36.382 157.24 2.4 7.6 1.9 deepHinduKush
71.897 37.275 157.28 3.7 3.9 1.9 deepPamir
72.024 37.359 157.29 3.2 3.1 1.9 deepPamir
74.153 38.236 157.29 2.7 5.1 1.9 deepPamir
71.937 37.245 157.30 3.4 3.4 1.9 deepPamir
71.371 36.634 157.38 4.0 3.9 1.9 deepHinduKush
71.190 36.508 157.44 2.6 5.9 1.9 deepHinduKush
71.967 37.289 157.44 2.3 5.7 1.9 deepPamir
69.111 36.310 157.53 2.5 8.2 1.9 deepHinduKush
71.885 37.075 157.59 3.1 5.6 1.9 deepPamir
72.013 37.309 157.59 2.8 8.1 1.9 deepPamir
71.929 37.256 157.69 3.8 4.7 1.9 deepPamir
70.568 36.573 157.70 2.6 4.4 1.9 deepHinduKush
71.039 36.454 157.70 2.8 12.4 1.9 deepHinduKush
71.388 36.604 157.71 2.5 7.2 1.9 deepHinduKush
71.862 37.089 157.77 3.2 3.7 1.9 deepPamir
69.168 36.281 157.83 2.6 6.1 1.9 deepHinduKush
72.403 37.738 157.83 2.9 3.2 1.9 deepPamir
73.772 38.230 157.84 3.0 4.0 - deepPamir
72.041 37.334 157.86 3.3 4.1 1.9 deepPamir
72.249 37.631 158.01 3.1 4.6 1.9 deepPamir
74.560 38.325 158.02 3.2 4.4 - deepPamir
71.969 36.964 158.05 2.9 4.3 1.9 deepPamir
71.925 37.335 158.08 2.8 5.2 1.9 deepPamir
69.181 36.364 158.13 3.8 3.8 1.9 deepHinduKush
71.202 36.515 158.17 3.6 6.1 1.9 deepHinduKush
72.004 37.397 158.19 3.3 13.5 1.9 deepPamir
72.110 37.401 158.19 3.2 6.1 1.9 deepPamir
71.986 37.200 158.21 3.5 4.3 1.9 deepPamir
71.955 36.961 158.22 2.8 5.9 1.9 deepPamir
71.988 37.322 158.24 2.9 8.8 1.9 deepPamir
74.035 38.245 158.38 4.0 2.3 1.9 deepPamir
74.024 38.241 158.51 2.8 2.8 1.9 deepPamir
71.956 37.230 158.54 4.3 3.9 1.9 deepPamir
71.924 37.260 158.57 2.8 4.8 1.9 deepPamir
71.820 37.154 158.58 3.7 4.6 1.9 deepPamir
71.933 37.295 158.71 3.3 3.4 1.9 deepPamir
71.915 37.117 158.72 2.9 5.0 1.9 deepPamir
71.172 36.647 158.73 3.0 3.7 1.9 deepHinduKush
74.067 38.249 158.86 3.0 4.1 1.9 deepPamir
74.073 38.244 158.88 3.9 2.5 1.9 deepPamir
74.010 38.205 158.92 3.3 4.4 1.9 deepPamir
71.912 37.108 159.00 2.4 6.8 1.9 deepPamir
71.943 36.962 159.00 2.5 5.8 1.9 deepPamir
72.057 37.375 159.03 3.5 2.6 1.9 deepPamir
71.859 37.171 159.04 3.9 2.3 1.9 deepPamir
71.079 36.537 159.05 3.3 12.9 1.9 deepHinduKush
71.974 36.949 159.05 2.8 4.4 1.9 deepPamir
71.167 36.538 159.08 2.6 10.9 1.9 deepHinduKush
72.023 37.358 159.08 3.0 3.8 1.9 deepPamir
71.812 37.151 159.11 2.7 8.2 - deepPamir
71.845 37.085 159.14 2.6 5.0 1.9 deepPamir
70.072 36.936 159.17 2.8 14.8 - deepHinduKush
69.391 36.374 159.19 3.3 4.4 - deepHinduKush
71.961 37.341 159.21 3.3 3.5 1.9 deepPamir
71.931 37.141 159.30 3.5 3.5 1.9 deepPamir
71.919 37.329 159.32 2.5 6.5 1.9 deepPamir
71.896 37.049 159.33 2.5 4.8 1.9 deepPamir
71.982 37.304 159.36 2.9 6.2 1.9 deepPamir
72.401 37.710 159.38 3.5 3.0 1.9 deepPamir
72.114 37.392 159.45 3.0 6.1 1.9 deepPamir
72.152 37.544 159.45 2.5 3.8 - deepPamir
71.913 37.316 159.46 3.1 3.4 1.9 deepPamir
71.161 36.494 159.47 2.5 7.0 1.9 deepHinduKush
71.979 36.948 159.55 2.6 11.1 1.9 deepPamir
71.881 37.236 159.59 2.9 3.8 1.9 deepPamir
71.958 37.310 159.60 3.0 4.4 1.9 deepPamir
71.976 36.954 159.61 2.7 4.1 1.9 deepPamir
71.996 37.319 159.62 2.7 5.6 1.9 deepPamir
70.994 36.554 159.65 3.0 5.1 1.9 deepHinduKush
71.978 36.955 159.71 2.8 5.4 1.9 deepPamir
74.005 38.224 159.73 3.0 3.1 1.9 deepPamir
71.978 36.957 159.79 2.6 4.8 1.9 deepPamir
71.978 36.957 159.81 2.7 4.0 1.9 deepPamir
70.442 36.492 159.82 2.8 4.5 1.9 deepHinduKush
70.434 36.573 159.85 3.0 4.4 1.9 deepHinduKush
71.992 37.332 159.86 2.3 5.9 1.9 deepPamir
71.978 36.960 159.88 2.9 9.0 1.9 deepPamir
72.013 37.261 159.90 2.8 6.0 1.9 deepPamir
72.162 37.407 159.94 2.7 5.5 1.9 deepPamir
71.346 36.772 159.96 3.2 4.6 1.9 deepHinduKush
71.967 36.955 159.97 3.1 3.8 1.9 deepPamir
74.217 38.228 159.98 2.8 3.1 1.9 deepPamir
71.980 36.933 160.06 3.2 6.1 1.9 deepPamir
71.010 36.432 160.08 3.1 6.3 1.9 deepHinduKush
72.028 37.283 160.19 2.7 5.9 1.9 deepPamir
70.779 36.551 160.36 2.5 4.2 1.9 deepHinduKush
72.736 37.950 160.41 3.1 7.1 - deepPamir
71.353 36.626 160.43 2.5 6.4 1.9 deepHinduKush
71.979 36.946 160.44 3.0 4.0 1.9 deepPamir
71.357 36.488 160.46 2.6 6.1 1.9 deepHinduKush
71.882 37.192 160.50 2.5 5.4 1.9 deepPamir
74.020 38.236 160.59 4.5 2.4 1.9 deepPamir
71.969 37.147 160.61 3.6 8.8 1.9 deepPamir
73.521 38.324 160.65 2.8 12.5 - deepPamir
72.125 37.346 160.69 2.3 8.7 1.9 deepPamir
72.094 37.235 160.71 2.7 4.9 1.9 deepPamir
71.918 37.117 160.72 3.5 4.6 1.9 deepPamir
72.015 37.250 160.72 3.1 4.1 1.9 deepPamir
71.903 37.296 160.73 2.9 4.8 1.9 deepPamir
72.121 37.411 160.73 3.0 3.7 1.9 deepPamir
71.181 36.510 160.75 2.5 5.2 1.9 deepHinduKush
70.794 36.546 160.84 2.4 4.4 1.9 deepHinduKush
72.122 37.230 160.84 3.7 3.5 1.9 deepPamir
73.535 38.088 160.85 2.4 5.5 - deepPamir
72.153 37.312 160.92 3.7 3.6 1.9 deepPamir
70.483 36.239 160.94 3.2 4.8 1.9 deepHinduKush
70.810 36.461 161.04 3.0 3.0 1.9 deepHinduKush
72.361 37.699 161.14 3.9 2.2 1.9 deepPamir
71.099 36.493 161.15 3.0 10.0 1.9 deepHinduKush
70.545 36.583 161.25 3.2 4.4 1.9 deepHinduKush
71.918 37.004 161.27 3.5 4.1 1.9 deepPamir
72.001 37.307 161.33 2.6 6.2 1.9 deepPamir
74.066 38.242 161.37 3.0 3.3 1.9 deepPamir
72.096 37.390 161.38 2.9 4.6 1.9 deepPamir
72.099 37.290 161.43 3.2 3.5 1.9 deepPamir
71.880 37.304 161.47 2.4 6.1 1.9 deepPamir
71.073 36.500 161.52 3.3 3.6 1.9 deepHinduKush
71.888 37.161 161.57 3.3 4.7 1.9 deepPamir
72.015 37.345 161.58 3.0 5.8 1.9 deepPamir
70.936 36.381 161.66 2.5 11.8 1.9 deepHinduKush
71.856 37.263 161.80 2.9 7.3 1.9 deepPamir
70.756 36.545 161.81 3.2 3.8 1.9 deepHinduKush
72.153 37.436 161.82 2.9 2.6 1.9 deepPamir
71.318 36.745 161.83 2.5 6.1 1.9 deepHinduKush
74.214 38.237 161.86 2.3 5.3 1.9 deepPamir
72.309 37.627 161.88 2.9 2.7 1.9 deepPamir
71.931 37.264 161.99 3.2 2.9 1.9 deepPamir
69.485 36.584 162.00 3.0 3.4 - deepHinduKush
71.932 36.931 162.00 2.7 5.0 1.9 deepPamir
72.088 37.397 162.00 2.6 5.4 1.9 deepPamir
71.974 36.947 162.04 2.7 6.6 1.9 deepPamir
69.825 36.576 162.13 2.9 3.5 - deepHinduKush
71.930 37.317 162.19 3.1 9.2 1.9 deepPamir
71.766 37.252 162.25 2.6 16.3 - deepPamir
70.959 36.462 162.27 2.7 7.1 1.9 deepHinduKush
72.076 37.390 162.29 2.0 5.9 1.9 deepPamir
70.559 36.575 162.39 2.6 6.6 1.9 deepHinduKush
71.861 37.140 162.40 3.4 3.1 1.9 deepPamir
71.949 37.262 162.45 4.6 3.2 1.9 deepPamir
74.178 38.235 162.47 3.1 18.6 - deepPamir
70.493 36.591 162.48 3.7 4.8 1.9 deepHinduKush
73.663 38.190 162.49 4.3 2.5 1.9 deepPamir
71.050 36.432 162.57 2.6 6.8 1.9 deepHinduKush
72.220 37.623 162.61 3.0 4.7 1.9 deepPamir
71.433 36.575 162.67 3.1 4.5 1.9 deepHinduKush
70.488 36.575 162.80 3.5 3.5 1.9 deepHinduKush
71.324 36.764 162.80 2.9 4.8 1.9 deepHinduKush
73.898 38.245 162.88 2.8 6.0 1.9 deepPamir
71.831 37.194 162.89 4.0 6.6 1.9 deepPamir
69.229 36.350 162.92 3.9 3.7 1.9 deepHinduKush
72.011 36.934 162.92 2.2 5.5 1.9 deepPamir
70.801 36.581 162.97 2.7 12.7 1.9 deepHinduKush
75.744 38.420 163.00 3.1 9.3 1.9 deepPamir
73.592 38.327 163.13 4.1 14.6 - deepPamir
72.322 37.717 163.15 3.0 5.0 1.9 deepPamir
71.375 36.390 163.18 3.1 7.8 - deepHinduKush
71.902 37.294 163.18 2.4 6.8 1.9 deepPamir
71.966 37.261 163.21 2.9 7.5 1.9 deepPamir
72.034 37.378 163.21 2.6 5.0 1.9 deepPamir
71.976 36.940 163.22 2.9 4.2 1.9 deepPamir
72.308 37.654 163.24 2.5 4.2 1.9 deepPamir
71.956 37.290 163.28 2.6 4.1 1.9 deepPamir
72.070 37.326 163.34 3.0 4.4 1.9 deepPamir
71.940 37.254 163.44 2.7 4.3 1.9 deepPamir
70.512 36.559 163.51 2.8 4.0 1.9 deepHinduKush
71.981 37.328 163.56 2.7 3.4 1.9 deepPamir
71.078 36.432 163.62 4.4 4.9 1.9 deepHinduKush
71.997 37.303 163.68 2.8 4.8 1.9 deepPamir
72.203 37.207 163.70 2.8 5.5 1.9 deepPamir
72.037 37.272 163.76 2.9 3.7 1.9 deepPamir
70.506 36.315 163.78 3.1 16.6 1.9 deepHinduKush
71.937 37.046 163.79 2.4 8.8 - deepPamir
71.901 37.287 163.91 3.2 3.5 1.9 deepPamir
71.940 37.178 163.94 3.3 4.3 1.9 deepPamir
71.965 37.312 163.99 2.7 5.1 1.9 deepPamir
72.292 37.638 164.16 3.6 2.5 1.9 deepPamir
71.880 37.217 164.20 2.6 5.7 1.9 deepPamir
72.359 37.667 164.26 2.9 4.2 1.9 deepPamir
72.357 37.673 164.28 3.5 4.3 1.9 deepPamir
71.342 36.690 164.36 2.8 22.5 1.9 deepHinduKush
70.551 36.546 164.41 3.7 5.7 1.9 deepHinduKush
72.358 37.614 164.49 3.3 2.6 1.9 deepPamir
71.981 37.076 164.58 3.4 5.1 1.9 deepPamir
72.045 37.257 164.59 3.0 3.6 1.9 deepPamir
71.949 37.314 164.60 2.8 3.5 1.9 deepPamir
74.032 38.188 164.69 5.2 2.7 1.9 deepPamir
71.963 37.306 164.71 2.8 3.9 1.9 deepPamir
72.321 37.572 164.72 2.8 5.4 - deepPamir
71.907 37.263 164.74 2.4 8.1 1.9 deepPamir
71.362 36.742 164.82 2.7 3.8 1.9 deepHinduKush
71.968 37.298 164.83 2.9 4.2 1.9 deepPamir
75.404 38.387 164.85 3.0 8.9 - deepPamir
72.001 37.289 164.89 3.1 3.9 1.9 deepPamir
71.324 36.758 164.90 2.8 5.0 1.9 deepHinduKush
75.713 38.415 165.04 3.3 9.1 1.9 deepPamir
71.874 37.229 165.09 3.3 4.1 1.9 deepPamir
71.296 36.735 165.23 3.0 4.8 1.9 deepHinduKush
73.566 38.170 165.23 4.3 2.3 1.9 deepPamir
72.128 37.452 165.24 3.5 2.6 1.9 deepPamir
71.958 37.356 165.28 2.6 5.6 1.9 deepPamir
71.890 37.251 165.41 2.7 6.4 1.9 deepPamir
71.876 37.131 165.44 2.8 4.3 1.9 deepPamir
72.039 37.259 165.46 3.1 3.9 1.9 deepPamir
71.394 36.789 165.51 3.3 4.2 1.9 deepHinduKush
72.265 37.609 165.62 3.1 6.1 1.9 deepPamir
72.270 37.616 165.66 3.9 3.7 1.9 deepPamir
71.101 36.628 165.76 2.4 7.9 1.9 deepHinduKush
72.016 37.346 165.78 3.4 2.8 1.9 deepPamir
71.981 37.289 165.80 3.6 3.5 1.9 deepPamir
71.874 37.182 165.82 3.1 3.2 1.9 deepPamir
72.103 37.353 165.86 4.2 4.2 1.9 deepPamir
70.755 36.473 165.97 3.8 3.2 1.9 deepHinduKush
71.835 37.128 166.03 3.4 4.4 1.9 deepPamir
71.052 36.590 166.07 3.0 3.6 1.9 deepHinduKush
71.875 37.148 166.12 4.2 6.7 1.9 deepPamir
70.925 36.581 166.15 3.1 3.5 1.9 deepHinduKush
69.746 36.388 166.33 2.5 6.0 - deepHinduKush
71.870 37.210 166.45 2.9 4.5 1.9 deepPamir
72.185 37.485 166.48 2.3 5.3 1.9 deepPamir
71.893 37.167 166.51 2.7 5.7 1.9 deepPamir
69.189 36.384 166.54 3.2 4.4 - deepHinduKush
72.017 37.276 166.61 3.3 3.6 1.9 deepPamir
70.642 36.573 166.63 3.2 3.6 1.9 deepHinduKush
71.924 37.184 166.68 2.7 5.7 1.9 deepPamir
71.374 36.520 166.74 2.5 5.0 1.9 deepHinduKush
72.262 37.557 166.92 2.9 3.2 1.9 deepPamir
71.018 36.601 167.05 3.0 4.4 1.9 deepHinduKush
71.930 37.290 167.06 2.5 8.2 1.9 deepPamir
72.120 37.446 167.06 3.7 4.7 1.9 deepPamir
71.870 37.073 167.15 2.4 4.5 1.9 deepPamir
74.112 38.151 167.16 2.4 5.2 1.9 deepPamir
71.984 37.006 167.20 3.0 5.3 1.9 deepPamir
69.582 36.552 167.21 2.5 8.1 1.9 deepHinduKush
72.147 37.290 167.36 3.1 4.6 1.9 deepPamir
70.388 36.543 167.38 3.4 3.4 - deepHinduKush
70.924 36.587 167.48 2.4 5.8 1.9 deepHinduKush
73.977 38.204 167.50 2.6 3.7 1.9 deepPamir
71.357 36.789 167.51 3.3 4.2 1.9 deepHinduKush
69.387 36.415 167.61 5.8 7.5 - deepHinduKush
74.629 38.191 167.63 2.2 9.3 - deepPamir
71.903 37.269 167.71 3.2 3.3 1.9 deepPamir
71.970 37.292 167.71 2.7 6.2 1.9 deepPamir
72.014 37.117 167.73 3.8 3.4 1.9 deepPamir
75.796 38.413 167.73 2.7 10.6 1.9 deepPamir
72.149 37.281 167.81 2.8 7.4 1.9 deepPamir
71.522 36.865 167.82 2.6 11.5 - deepHinduKush
71.878 37.166 167.82 3.5 5.6 1.9 deepPamir
69.492 36.228 167.88 3.1 8.9 - deepHinduKush
69.543 36.279 167.90 3.2 5.8 - deepHinduKush
71.915 37.292 167.95 3.7 3.0 1.9 deepPamir
70.986 36.575 168.22 2.7 5.0 1.9 deepHinduKush
70.151 36.332 168.24 2.8 10.7 - deepHinduKush
71.973 37.277 168.37 2.5 5.1 1.9 deepPamir
71.397 36.727 168.38 3.1 6.9 1.9 deepHinduKush
73.581 38.145 168.41 4.2 2.9 1.9 deepPamir
72.053 37.426 168.42 3.0 4.8 1.9 deepPamir
71.897 37.290 168.54 3.6 3.5 1.9 deepPamir
73.991 38.200 168.57 2.7 4.2 1.9 deepPamir
76.063 37.926 168.59 4.8 37.3 - deepPamir
73.944 38.197 168.63 3.3 2.9 1.9 deepPamir
73.959 38.210 168.76 4.4 2.7 1.9 deepPamir
71.146 36.654 168.85 3.2 3.0 1.9 deepHinduKush
69.624 36.416 168.87 2.8 5.0 - deepHinduKush
75.461 38.311 168.90 3.9 5.3 - deepPamir
71.277 36.716 169.18 2.2 6.9 1.9 deepHinduKush
71.409 36.689 169.20 3.2 6.6 1.9 deepHinduKush
73.580 38.159 169.25 3.1 2.9 1.9 deepPamir
71.896 37.137 169.26 3.3 8.7 1.9 deepPamir
71.897 37.218 169.26 3.4 3.0 1.9 deepPamir
71.995 37.278 169.27 3.3 3.5 1.9 deepPamir
74.104 38.208 169.41 2.5 3.8 1.9 deepPamir
71.408 36.707 169.43 3.6 3.8 1.9 deepHinduKush
71.945 37.303 169.45 2.8 9.1 1.9 deepPamir
71.912 37.286 169.47 3.1 10.7 1.9 deepPamir
72.069 37.420 169.63 3.3 4.5 1.9 deepPamir
72.317 37.632 169.76 4.3 2.3 1.9 deepPamir
71.834 37.196 169.80 3.1 4.3 1.9 deepPamir
71.898 37.109 169.88 3.2 3.1 1.9 deepPamir
72.016 37.249 169.91 2.7 4.9 1.9 deepPamir
71.988 37.311 169.92 2.6 7.5 1.9 deepPamir
72.005 37.231 169.94 3.2 4.2 1.9 deepPamir
71.341 36.731 169.99 2.5 5.5 1.9 deepHinduKush
71.925 37.170 170.00 3.5 2.9 1.9 deepPamir
73.915 38.178 170.34 2.8 3.7 1.9 deepPamir
71.889 37.196 170.38 2.7 3.6 1.9 deepPamir
73.934 38.158 170.43 2.4 4.9 1.9 deepPamir
71.920 37.123 170.52 3.0 6.8 1.9 deepPamir
74.149 38.192 170.54 2.8 3.1 1.9 deepPamir
72.196 37.585 170.56 4.3 3.6 1.9 deepPamir
71.342 36.733 170.59 2.5 9.1 1.9 deepHinduKush
71.386 36.720 170.67 3.3 5.3 1.9 deepHinduKush
74.152 38.196 170.68 3.0 4.0 1.9 deepPamir
70.805 36.597 170.73 3.6 3.5 1.9 deepHinduKush
71.332 36.704 170.78 4.0 7.1 1.9 deepHinduKush
72.048 37.317 170.80 3.2 4.9 1.9 deepPamir
71.982 37.345 170.81 2.4 5.7 1.9 deepPamir
69.440 36.311 170.83 2.7 3.8 1.9 deepHinduKush
71.904 37.284 170.86 4.4 3.4 1.9 deepPamir
69.493 36.561 170.87 3.2 4.3 1.9 deepHinduKush
71.897 37.103 170.87 3.1 4.5 1.9 deepPamir
72.172 37.463 171.05 2.9 7.1 1.9 deepPamir
71.937 37.169 171.10 3.0 5.5 1.9 deepPamir
71.292 36.772 171.15 3.6 3.8 1.9 deepHinduKush
71.910 37.157 171.15 2.7 3.4 1.9 deepPamir
71.434 36.696 171.18 2.8 5.5 1.9 deepHinduKush
70.043 36.564 171.20 4.1 3.9 - deepHinduKush
72.137 37.438 171.33 3.8 4.9 1.9 deepPamir
72.119 37.470 171.36 2.7 7.6 1.9 deepPamir
71.082 36.578 171.37 2.6 4.3 1.9 deepHinduKush
71.338 36.705 171.47 2.6 5.6 1.9 deepHinduKush
71.364 36.711 171.50 2.6 7.4 1.9 deepHinduKush
69.708 36.587 171.66 3.2 3.2 - deepHinduKush
73.797 38.373 171.67 2.7 15.8 - deepPamir
71.425 36.708 171.69 3.0 6.1 1.9 deepHinduKush
70.764 36.501 171.71 3.0 8.0 1.9 deepHinduKush
71.381 36.784 171.71 2.8 4.0 1.9 deepHinduKush
69.438 36.315 171.83 3.3 5.2 1.9 deepHinduKush
70.942 36.588 171.85 2.3 6.4 1.9 deepHinduKush
71.291 36.676 171.85 3.1 6.0 1.9 deepHinduKush
72.465 37.725 171.88 3.3 2.8 1.9 deepPamir
71.890 37.094 171.89 4.0 3.2 1.9 deepPamir
72.126 37.419 171.91 3.8 2.7 1.9 deepPamir
70.730 36.563 171.95 2.9 3.1 1.9 deepHinduKush
71.962 37.279 172.06 3.6 3.1 1.9 deepPamir
72.360 37.700 172.06 3.6 9.9 1.9 deepPamir
71.039 36.478 172.14 3.0 10.0 - deepHinduKush
71.873 37.225 172.15 2.6 4.5 1.9 deepPamir
73.964 38.186 172.20 4.9 4.1 1.9 deepPamir
72.259 37.606 172.30 3.3 4.2 1.9 deepPamir
71.886 37.292 172.32 3.0 4.8 1.9 deepPamir
70.875 36.566 172.39 3.2 4.7 1.9 deepHinduKush
71.348 36.704 172.44 2.5 4.6 1.9 deepHinduKush
71.342 36.673 172.58 4.8 3.1 1.9 deepHinduKush
72.271 37.357 172.66 3.8 5.3 - deepPamir
71.899 37.306 172.69 2.9 8.5 1.9 deepPamir
71.356 36.724 172.83 3.0 4.0 1.9 deepHinduKush
73.937 38.181 172.85 3.5 2.5 1.9 deepPamir
70.893 36.566 172.87 3.0 4.6 1.9 deepHinduKush
71.243 36.732 172.88 2.5 6.9 1.9 deepHinduKush
71.316 36.741 172.88 3.5 4.6 1.9 deepHinduKush
72.104 37.241 172.94 3.9 5.2 1.9 deepPamir
70.970 36.529 172.96 2.8 11.6 1.9 deepHinduKush
71.931 37.269 173.00 3.3 3.4 1.9 deepPamir
71.935 37.092 173.03 2.7 6.8 1.9 deepPamir
71.908 37.314 173.04 2.9 5.1 1.9 deepPamir
70.952 36.544 173.06 4.0 3.1 1.9 deepHinduKush
70.717 36.533 173.12 2.7 3.7 1.9 deepHinduKush
71.977 37.259 173.13 4.1 6.2 1.9 deepPamir
72.186 37.505 173.26 2.2 13.1 1.9 deepPamir
71.279 36.746 173.28 2.7 4.8 1.9 deepHinduKush
74.135 38.173 173.29 3.5 2.9 1.9 deepPamir
71.383 36.726 173.32 2.8 6.8 1.9 deepHinduKush
72.091 37.259 173.32 3.5 4.3 1.9 deepPamir
70.563 36.534 173.33 2.6 6.4 - deepHinduKush
70.849 36.527 173.36 4.7 3.7 1.9 deepHinduKush
71.311 36.716 173.51 3.2 7.1 1.9 deepHinduKush
71.165 36.653 173.52 3.2 4.1 1.9 deepHinduKush
71.374 36.690 173.54 5.3 4.5 1.9 deepHinduKush
71.189 36.630 173.64 3.4 3.1 1.9 deepHinduKush
72.181 37.484 173.87 2.9 3.4 1.9 deepPamir
71.296 36.764 173.93 3.5 4.3 1.9 deepHinduKush
70.969 36.604 173.96 5.0 8.8 - deepHinduKush
71.641 37.461 173.97 3.1 10.7 - deepPamir
72.329 37.604 174.00 3.5 5.1 1.9 deepPamir
69.439 36.625 174.05 2.5 7.2 1.9 deepHinduKush
71.909 37.270 174.18 3.0 6.6 1.9 deepPamir
72.106 37.423 174.20 2.6 11.3 1.9 deepPamir
72.520 37.775 174.21 2.9 3.2 1.9 deepPamir
71.237 36.568 174.22 2.9 8.4 1.9 deepHinduKush
72.158 37.450 174.22 2.4 7.9 1.9 deepPamir
71.953 37.137 174.23 3.9 2.8 1.9 deepPamir
71.354 36.751 174.25 2.7 5.5 1.9 deepHinduKush
71.139 36.647 174.29 2.7 5.0 1.9 deepHinduKush
72.405 37.599 174.35 2.7 3.9 1.9 deepPamir
71.933 37.283 174.38 2.8 3.6 1.9 deepPamir
69.778 36.605 174.41 2.8 4.1 - deepHinduKush
72.351 37.563 174.44 2.8 6.0 1.9 deepPamir
71.419 36.697 174.47 3.0 5.2 1.9 deepHinduKush
75.690 38.329 174.50 4.5 5.0 1.9 deepPamir
70.849 36.525 174.59 4.7 3.2 1.9 deepHinduKush
70.956 36.579 174.59 6.8 5.0 - deepHinduKush
71.012 36.630 174.73 3.5 3.0 1.9 deepHinduKush
72.276 37.604 174.75 3.0 3.9 1.9 deepPamir
71.389 36.692 174.90 3.5 4.7 1.9 deepHinduKush
71.358 36.711 175.01 2.9 4.4 1.9 deepHinduKush
69.398 36.556 175.03 3.5 4.9 1.9 deepHinduKush
71.407 36.700 175.14 2.8 5.5 1.9 deepHinduKush
72.195 37.448 175.17 3.2 5.6 1.9 deepPamir
71.345 36.707 175.19 4.1 4.4 1.9 deepHinduKush
71.357 36.723 175.19 2.8 3.7 1.9 deepHinduKush
71.378 36.691 175.19 3.5 5.8 1.9 deepHinduKush
71.157 36.658 175.20 3.0 5.2 1.9 deepHinduKush
71.927 37.293 175.22 3.0 4.5 1.9 deepPamir
69.360 36.620 175.35 3.7 3.9 1.9 deepHinduKush
70.884 36.531 175.64 5.1 2.8 1.9 deepHinduKush
72.056 37.291 175.64 3.3 3.9 1.9 deepPamir
71.345 36.676 175.65 4.4 3.2 1.9 deepHinduKush
71.346 36.771 175.65 2.7 3.7 1.9 deepHinduKush
71.202 36.623 175.66 3.2 4.5 1.9 deepHinduKush
71.938 37.265 175.66 3.6 3.3 1.9 deepPamir
71.291 36.699 175.72 2.8 4.5 1.9 deepHinduKush
71.367 36.655 175.77 2.9 6.5 1.9 deepHinduKush
71.391 36.688 175.81 3.8 3.5 1.9 deepHinduKush
71.945 37.112 175.94 3.6 4.1 1.9 deepPamir
71.941 37.180 175.98 2.8 6.1 1.9 deepPamir
74.000 38.162 176.08 2.5 7.4 1.9 deepPamir
71.262 36.711 176.20 3.1 4.5 1.9 deepHinduKush
72.329 37.569 176.26 3.0 3.6 1.9 deepPamir
70.859 36.534 176.31 3.4 3.6 1.9 deepHinduKush
70.856 36.532 176.36 5.4 4.7 - deepHinduKush
71.445 36.695 176.38 2.3 7.6 1.9 deepHinduKush
71.167 36.620 176.43 3.2 3.5 1.9 deepHinduKush
72.535 37.787 176.43 2.5 5.3 1.9 deepPamir
71.261 36.717 176.56 2.8 5.4 1.9 deepHinduKush
71.280 36.690 176.59 3.3 5.5 1.9 deepHinduKush
72.200 37.533 176.59 2.6 7.2 1.9 deepPamir
69.630 36.419 176.60 5.3 4.3 1.9 deepHinduKush
71.864 37.159 176.63 3.1 3.8 1.9 deepPamir
71.976 37.259 176.64 2.8 9.3 1.9 deepPamir
71.899 37.228 176.66 2.7 7.6 1.9 deepPamir
71.358 36.744 176.69 4.8 3.2 1.9 deepHinduKush
71.372 36.759 176.69 3.2 4.4 1.9 deepHinduKush
71.340 36.679 176.72 2.7 4.6 1.9 deepHinduKush
71.879 37.206 176.77 2.9 4.6 1.9 deepPamir
71.427 36.652 176.78 2.8 9.2 1.9 deepHinduKush
72.415 37.611 176.81 3.5 5.8 1.9 deepPamir
71.926 37.267 176.83 3.0 6.9 1.9 deepPamir
70.821 36.535 176.87 3.0 4.0 1.9 deepHinduKush
71.004 36.535 176.89 2.7 6.8 1.9 deepHinduKush
71.328 36.678 176.90 3.7 6.5 1.9 deepHinduKush
70.743 36.544 176.91 2.6 20.3 1.9 deepHinduKush
71.367 36.687 176.91 5.2 3.6 1.9 deepHinduKush
71.911 37.155 177.00 2.8 5.1 1.9 deepPamir
71.401 36.692 177.04 2.2 5.5 1.9 deepHinduKush
71.382 36.692 177.12 4.6 3.1 1.9 deepHinduKush
72.200 37.504 177.13 2.5 4.8 1.9 deepPamir
71.365 36.680 177.16 4.3 3.4 1.9 deepHinduKush
71.405 36.705 177.19 3.1 4.7 1.9 deepHinduKush
74.097 38.257 177.20 3.7 16.2 - deepPamir
71.343 36.702 177.22 2.5 4.4 1.9 deepHinduKush
71.363 36.708 177.29 2.3 6.4 1.9 deepHinduKush
